trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
M' Manc (con Geolier & Sfera Ebbasta);Shablo;24/01/2024 19:43;484;0MLu1cFYL4ikdRTdasCQT9;68;180000;11/06/2020;spotify:track:0MLu1cFYL4ikdRTdasCQT9;0.048;0.703;0.704;0.0641;0.0;0.41;0.725;-6.117;139.933;4;6;0;spotify:track:0MLu1cFYL4ikdRTdasCQT9;0MLu1cFYL4ikdRTdasCQT9
Paraocchi;BLANCO;24/01/2024 19:43;508;40zkeKA3HRN8Nzo6kbNOCp;57;156083;09/09/2021;spotify:track:40zkeKA3HRN8Nzo6kbNOCp;0.0136;0.566;0.938;0.0709;0.0;0.1;0.753;-4.387;143.126;4;9;1;spotify:track:40zkeKA3HRN8Nzo6kbNOCp;40zkeKA3HRN8Nzo6kbNOCp
Angelina Jolie;Bresh;24/01/2024 19:42;169386;2wDBnfPlixUHdqrS1HvpvY;64;169546;04/03/2022;spotify:track:2wDBnfPlixUHdqrS1HvpvY;0.073;0.658;0.628;0.207;0.0;0.117;0.621;-7.889;160.171;4;7;1;spotify:track:2wDBnfPlixUHdqrS1HvpvY;2wDBnfPlixUHdqrS1HvpvY
A Squarciagola;Olly;24/01/2024 19:39;543245;1broDLBCr9ZXrMW3RjLa5J;56;184022;03/11/2023;spotify:track:1broDLBCr9ZXrMW3RjLa5J;0.205;0.554;0.709;0.0508;0.0;0.359;0.454;-6.338;90.037;4;2;1;spotify:track:1broDLBCr9ZXrMW3RjLa5J;1broDLBCr9ZXrMW3RjLa5J
NUOVO RANGE (con SFERA EBBASTA);Rkomi;24/01/2024 19:33;219;5YSR0sWUZk7NuIbkycxndu;65;176772;30/11/2021;spotify:track:5YSR0sWUZk7NuIbkycxndu;0.233;0.68;0.76;0.0556;0.0;0.13;0.709;-4.866;82.54;4;1;0;spotify:track:5YSR0sWUZk7NuIbkycxndu;5YSR0sWUZk7NuIbkycxndu
Notti In Bianco;BLANCO;24/01/2024 19:33;1228;1PWOkqMORYdGa0OEh2GaXM;61;176400;09/09/2021;spotify:track:1PWOkqMORYdGa0OEh2GaXM;0.359;0.599;0.79;0.0422;0.0;0.105;0.693;-3.242;75.004;4;6;1;spotify:track:1PWOkqMORYdGa0OEh2GaXM;1PWOkqMORYdGa0OEh2GaXM
Notte gialla (feat. Madame);Emis Killa;24/01/2024 19:33;32642;5KkH1w1g6ACMRoz1fYvWCb;45;191065;23/07/2021;spotify:track:5KkH1w1g6ACMRoz1fYvWCb;0.324;0.657;0.707;0.241;1.62e-06;0.516;0.529;-6.927;83.991;4;11;0;spotify:track:5KkH1w1g6ACMRoz1fYvWCb;5KkH1w1g6ACMRoz1fYvWCb
HONEY (ARE U COMING?);Måneskin;24/01/2024 19:33;475;3tNMdL4qjzNHfo7rlVMESK;70;167276;01/09/2023;spotify:track:3tNMdL4qjzNHfo7rlVMESK;0.00196;0.476;0.94;0.0806;1.45e-06;0.141;0.372;-2.349;139.987;4;7;0;spotify:track:3tNMdL4qjzNHfo7rlVMESK;3tNMdL4qjzNHfo7rlVMESK
DIMMI CHE NON È UN ADDIO;Holden;24/01/2024 19:32;177770;3nIDXarK9FuClYwZQTSoK2;60;177769;07/11/2023;spotify:track:3nIDXarK9FuClYwZQTSoK2;0.132;0.592;0.543;0.0267;0.0;0.185;0.171;-6.154;97.478;3;3;1;spotify:track:3nIDXarK9FuClYwZQTSoK2;3nIDXarK9FuClYwZQTSoK2
ROSSOFUOCO;Mida;24/01/2024 19:30;201772;5B5p5w9QV0QFBsnASmtL24;71;162684;07/11/2023;spotify:track:5B5p5w9QV0QFBsnASmtL24;0.0181;0.452;0.579;0.0755;0.0;0.192;0.297;-5.658;133.899;4;2;1;spotify:track:5B5p5w9QV0QFBsnASmtL24;5B5p5w9QV0QFBsnASmtL24
Tutto con te;Olly;24/01/2024 19:11;158381;7lT1FcTvo0yrfpQD2Vs2XR;51;158400;10/02/2023;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;0.276;0.554;0.66;0.165;0.0;0.159;0.863;-6.694;150.065;4;8;1;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;7lT1FcTvo0yrfpQD2Vs2XR
